Model,Team,Condition,Provider,Metric,mean,ci
Claude 3.7 Sonnet + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Anthropic + Anthropic,Completeness,0.569,0.016
Claude 3.7 Sonnet + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Anthropic + DeepSeek,Completeness,0.492,0.048
Claude 3.7 Sonnet + GPT-4.1,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Completeness,0.618,0.008
Claude 3.7 Sonnet + GPT-5,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Completeness,0.488,0.024
Claude 3.7 Sonnet + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Completeness,0.553,0.044
Claude 3.7 Sonnet + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Completeness,0.589,0.035
Claude 3.7 Sonnet + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Completeness,0.52,0.016
Claude 3.7 Sonnet + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,Completeness,0.549,0.024
Claude 3.7 Sonnet + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,Completeness,0.549,0.024
Claude 3.7 Sonnet + o3 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Completeness,0.516,0.021
Claude Sonnet 4.5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Completeness,0.517,0.016
Claude Sonnet 4.5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Anthropic + AMBOSS,Completeness,0.555,0.018
DeepSeek R1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,DeepSeek + Anthropic,Completeness,0.595,0.03
DeepSeek R1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,DeepSeek + DeepSeek,Completeness,0.509,0.025
DeepSeek R1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Completeness,0.598,0.05
DeepSeek R1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Completeness,0.604,0.019
DeepSeek R1 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Completeness,0.606,0.024
DeepSeek R1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Completeness,0.559,0.016
DeepSeek R1 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,DeepSeek + AMBOSS,Completeness,0.646,0.023
DeepSeek R1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,DeepSeek + Meta,Completeness,0.565,0.02
DeepSeek R1 + o3 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Completeness,0.546,0.024
GPT-4.1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,Completeness,0.593,0.048
GPT-4.1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.699,0.042
GPT-4.1 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.512,0.05
GPT-4.1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.585,0.014
GPT-4.1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Completeness,0.638,0.016
GPT-4.1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Completeness,0.589,0.035
GPT-4.1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Completeness,0.622,0
GPT-4.1 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Completeness,0.622,0.014
GPT-4.1 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.602,0.008
GPT-5 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,Completeness,0.419,0.016
GPT-5 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.622,0.037
GPT-5 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.468,0.024
